created_at,created_at,station.uuid,rssi,us_units
2014-10-17 12:12:43,2014-10-17 12:12:43,42,79,1
2014-10-17 12:17:42,2014-10-17 12:17:42,42,109,1
2014-10-17 12:18:04,2014-10-17 12:18:04,202481588171316,0,1
2014-10-17 12:22:42,2014-10-17 12:22:42,42,87,1
2014-10-17 12:24:03,2014-10-17 12:24:03,202481588171316,0,1
2014-10-17 12:27:43,2014-10-17 12:27:43,42,100,1
2014-10-17 12:30:01,2014-10-17 12:30:01,202481588171316,0,1
2014-10-17 12:32:43,2014-10-17 12:32:43,42,83,1
2014-10-17 12:35:01,2014-10-17 12:35:01,202481588171316,0,1
2014-10-17 12:37:43,2014-10-17 12:37:43,42,82,1
2014-10-17 12:40:04,2014-10-17 12:40:04,202481588171316,0,1
2014-10-17 12:42:43,2014-10-17 12:42:43,42,110,1
2014-10-17 12:46:03,2014-10-17 12:46:03,202481588171316,0,1
2014-10-17 12:47:43,2014-10-17 12:47:43,42,95,1
2014-10-17 12:52:03,2014-10-17 12:52:03,202481588171316,0,1
2014-10-17 12:52:44,2014-10-17 12:52:44,42,105,1
2014-10-17 12:57:43,2014-10-17 12:57:43,42,94,1
2014-10-17 12:58:02,2014-10-17 12:58:02,202481588171316,0,1
2014-10-17 13:02:43,2014-10-17 13:02:43,42,95,1
2014-10-17 13:04:03,2014-10-17 13:04:03,202481588171316,0,1
2014-10-17 13:07:43,2014-10-17 13:07:43,42,93,1
2014-10-17 13:09:28,2014-10-17 13:09:28,1337,63,1
2014-10-17 13:09:44,2014-10-17 13:09:44,1337,89,1
2014-10-17 13:10:01,2014-10-17 13:10:01,202481588171316,0,1
2014-10-17 13:10:04,2014-10-17 13:10:04,1337,86,1
2014-10-17 13:10:07,2014-10-17 13:10:07,1337,68,1
2014-10-17 13:10:55,2014-10-17 13:10:55,1337,71,1
2014-10-17 13:11:43,2014-10-17 13:11:43,1337,90,1
2014-10-17 13:11:53,2014-10-17 13:11:53,1337,59,1
2014-10-17 13:12:44,2014-10-17 13:12:44,42,107,1
2014-10-17 13:15:04,2014-10-17 13:15:04,202481588171316,0,1
2014-10-17 13:17:14,2014-10-17 13:17:14,1337,84,1
2014-10-17 13:17:43,2014-10-17 13:17:43,42,113,1
2014-10-17 13:21:00,2014-10-17 13:21:00,202481588171316,0,1
2014-10-17 13:22:14,2014-10-17 13:22:14,1337,69,1
2014-10-17 13:22:44,2014-10-17 13:22:44,42,104,1
2014-10-17 13:26:04,2014-10-17 13:26:04,202481588171316,0,1
2014-10-17 13:27:14,2014-10-17 13:27:14,1337,88,1
2014-10-17 13:27:44,2014-10-17 13:27:44,42,76,1
2014-10-17 13:32:03,2014-10-17 13:32:03,202481588171316,0,1
